ID,Name,Age,Marks,Grade
1,David,21,67.48,D
2,Rachel,25,76.05,D
3,Mike,21,60.47,F
4,Sara,22,82.85,B
5,Alice,21,98.41,C
6,Mike,20,83.43,B
7,John,19,59.11,A
8,Sara,21,57.79,D
9,Mike,23,75.46,C
10,Tom,22,98.7,B
11,Nina,22,62.69,F
12,John,24,94.99,F
13,Nina,21,79.91,A
14,James,20,92.6,F
15,Rachel,20,61.62,B
16,James,19,52.8,A
17,Rachel,20,52.25,D
18,Tom,25,67.91,D
19,Emma,20,72.53,F
20,Nina,23,87.12,A
21,Mike,25,59.36,B
22,Emma,24,83.06,F
23,James,20,67.4,A
24,Nina,22,51.72,C
25,Mike,24,73.8,C
26,Sara,23,70.19,B
27,Mike,20,83.14,C
28,Alice,21,67.95,D
29,Rachel,24,58.0,A
30,Sara,18,73.05,D
31,Rachel,18,50.09,B
32,John,19,60.23,B
33,Mike,24,56.33,C
34,Alice,21,97.32,F
35,James,21,59.24,A
36,Emma,23,54.4,A
37,Alice,23,83.4,A
38,Tom,20,99.62,B
39,Tom,19,97.9,C
40,Nina,21,77.52,A
41,James,19,77.34,C
42,Rachel,24,89.65,D
43,James,18,75.34,A
44,David,22,54.73,D
45,David,20,60.69,C
46,Mike,22,90.01,F
47,James,24,60.52,C
48,Sara,23,97.23,F
49,John,18,99.71,D
50,Tom,25,98.43,B
51,Emma,22,56.33,F
52,Nina,19,76.58,C
53,Rachel,23,64.09,D
54,Alice,19,99.15,C
55,Emma,19,76.33,D
56,Emma,25,52.46,D
57,Sara,23,95.51,C
58,James,19,65.9,A
59,Mike,22,59.04,D
60,James,22,80.85,F
61,James,19,64.16,D
62,Rachel,19,64.25,A
63,James,21,56.88,A
64,Nina,18,98.31,B
65,Emma,25,98.32,A
66,James,23,73.3,F
67,Mike,21,72.26,C
68,Emma,23,81.45,A
69,Sara,22,55.53,F
70,Emma,22,98.4,D
71,David,18,63.53,A
72,John,24,67.23,B
73,James,21,59.44,D
74,Rachel,19,67.95,B
